Vehicle Class Wise Fuel Data  of Bihar ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,ADAPTED VEHICLE,1,1
2,AGRICULTURAL TRACTOR,1,1
3,BUS,26,26
4,E-RICKSHAW(P),"73,331","73,331"
5,E-RICKSHAW WITH CART (G),"1,392","1,392"
6,GOODS CARRIER,14,14
7,M-CYCLE/SCOOTER,"8,713","8,713"
8,M-CYCLE/SCOOTER-WITH SIDE CAR,18,18
9,MOPED,114,114
10,MOTOR CAB,8,8
11,MOTOR CAR,178,178
12,MOTORISED CYCLE (CC > 25CC),50,50
13,THREE WHEELER (GOODS),101,101
14,THREE WHEELER (PASSENGER),962,962
15,THREE WHEELER (PERSONAL),2,2
16,TRACTOR (COMMERCIAL),13,13
17,TRAILER (AGRICULTURAL),2,2
18,TRAILER (COMMERCIAL),163,163
