Vehicle Class Wise Fuel Data  of Chhattisgarh ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,AGRICULTURAL TRACTOR,17,17
2,BUS,1,1
3,CONSTRUCTION EQUIPMENT VEHICLE,461,461
4,CRANE MOUNTED VEHICLE,1,1
5,E-RICKSHAW(P),"5,646","5,646"
6,E-RICKSHAW WITH CART (G),824,824
7,GOODS CARRIER,"1,078","1,078"
8,MAXI CAB,1,1
9,M-CYCLE/SCOOTER,"9,795","9,795"
10,MOPED,"2,603","2,603"
11,MOTOR CAB,14,14
12,MOTOR CAR,238,238
13,MOTORISED CYCLE (CC > 25CC),2,2
14,OMNI BUS (PRIVATE USE),3,3
15,ROAD ROLLER,4,4
16,THREE WHEELER (GOODS),128,128
17,THREE WHEELER (PASSENGER),758,758
18,THREE WHEELER (PERSONAL),66,66
19,TRACTOR (COMMERCIAL),2,2
20,TRAILER (AGRICULTURAL),10,10
21,TRAILER (COMMERCIAL),1,1
