Vehicle Class Wise Fuel Data  of Delhi ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,ADAPTED VEHICLE,8,8
2,BUS,287,287
3,E-RICKSHAW(P),"1,07,542","1,07,542"
4,E-RICKSHAW WITH CART (G),"10,497","10,497"
5,GOODS CARRIER,50,50
6,MAXI CAB,47,47
7,M-CYCLE/SCOOTER,"29,908","29,908"
8,M-CYCLE/SCOOTER-WITH SIDE CAR,23,23
9,MOPED,259,259
10,MOTOR CAB,"2,705","2,705"
11,MOTOR CAR,"4,305","4,305"
12,MOTORISED CYCLE (CC > 25CC),4,4
13,OMNI BUS,1,1
14,THREE WHEELER (GOODS),"2,851","2,851"
15,THREE WHEELER (PASSENGER),321,321
