Vehicle Class Wise Fuel Data  of Goa ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,BUS,51,51
2,E-RICKSHAW(P),8,8
3,E-RICKSHAW WITH CART (G),15,15
4,FORK LIFT,2,2
5,GOODS CARRIER,18,18
6,MAXI CAB,2,2
7,M-CYCLE/SCOOTER,"3,216","3,216"
8,M-CYCLE/SCOOTER-WITH SIDE CAR,2,2
9,MOPED,31,31
10,MOTOR CAB,2,2
11,MOTOR CAR,672,672
12,MOTOR CYCLE/SCOOTER-USED FOR HIRE,1,1
13,THREE WHEELER (GOODS),4,4
14,THREE WHEELER (PASSENGER),2,2
15,THREE WHEELER (PERSONAL),4,4
