Vehicle Class Wise Fuel Data  of Haryana ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,AGRICULTURAL TRACTOR,50,50
2,BUS,7,7
3,CRANE MOUNTED VEHICLE,2,2
4,EARTH MOVING EQUIPMENT,2,2
5,EDUCATIONAL INSTITUTION BUS,1,1
6,E-RICKSHAW(P),"19,840","19,840"
7,E-RICKSHAW WITH CART (G),"2,138","2,138"
8,EXCAVATOR (NT),1,1
9,FORK LIFT,2,2
10,GOODS CARRIER,123,123
11,HARVESTER,1,1
12,MAXI CAB,1,1
13,M-CYCLE/SCOOTER,"12,397","12,397"
14,M-CYCLE/SCOOTER-WITH SIDE CAR,4,4
15,MOPED,317,317
16,MOTOR CAB,204,204
17,MOTOR CAR,271,271
18,MOTOR CYCLE/SCOOTER-SIDECAR(T),6,6
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,47,47
20,MOTORISED CYCLE (CC > 25CC),626,626
21,THREE WHEELER (GOODS),511,511
22,THREE WHEELER (PASSENGER),"1,392","1,392"
