Vehicle Class Wise Fuel Data  of Uttar Pradesh ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,ADAPTED VEHICLE,3,3
2,AGRICULTURAL TRACTOR,94,94
3,BUS,507,507
4,E-RICKSHAW(P),"3,03,821","3,03,821"
5,E-RICKSHAW WITH CART (G),"8,679","8,679"
6,FORK LIFT,1,1
7,GOODS CARRIER,77,77
8,M-CYCLE/SCOOTER,"26,419","26,419"
9,M-CYCLE/SCOOTER-WITH SIDE CAR,14,14
10,MOPED,553,553
11,MOTOR CAB,26,26
12,MOTOR CAR,466,466
13,MOTOR CYCLE/SCOOTER-USED FOR HIRE,20,20
14,MOTORISED CYCLE (CC > 25CC),"1,399","1,399"
15,THREE WHEELER (GOODS),229,229
16,THREE WHEELER (PASSENGER),"1,257","1,257"
17,THREE WHEELER (PERSONAL),1,1
18,X-RAY VAN,1,1
